model,feature,bin,n,value_min,value_max,direct_exact,gold_location_exact,gold_minus_direct_exact,direct_location_f1,gold_location_location_f1,gold_minus_direct_location_f1,direct_correct_gold_wrong_rate
deepseek-coder:6.7b,direct_output_char_count,q3_352_to_483,3682,353,483,0.006518196632265073,0.004073872895165671,-0.0024443237370994023,0.4167244679304138,0.4544813096946967,0.0377568417642829,0.005975013579576317
deepseek-coder:6.7b,gold_location_output_line_count,q4_gt_11,3281,12,55,0.0012191405059433099,0.00030478512648582747,-0.0009143553794574824,0.4999366798133648,0.5495113765633148,0.04957469674995002,0.0012191405059433099
deepseek-coder:6.7b,gold_location_output_line_count,q1_le_7,4498,1,7,0.010226767452200978,0.018674966651845263,0.008448199199644285,0.3568734727915467,0.378295366239082,0.021421893447535312,0.006447309915518008
deepseek-coder:6.7b,gold_location_output_line_count,q3_9_to_11,2497,10,11,0.006007208650380457,0.0012014417300760913,-0.004805766920304365,0.42260374125874456,0.4798733949908168,0.05726965373207227,0.006007208650380457
deepseek-coder:6.7b,gold_location_output_line_count,q2_7_to_9,4579,8,9,0.008953920069884254,0.0008735531775496833,-0.00808036689233457,0.3816283905018503,0.43885567952606835,0.05722728902421803,0.008517143481109412
deepseek-coder:6.7b,gold_location_output_word_count,q4_gt_45,3673,46,192,0.0019057990743261638,0.0002722570106180234,-0.0016335420637081403,0.44245684781890465,0.4876057104894276,0.04514886267052293,0.0019057990743261638
deepseek-coder:6.7b,gold_location_output_word_count,q1_le_22,3955,1,22,0.01415929203539823,0.01592920353982301,0.0017699115044247787,0.38609188182175647,0.4245714265354632,0.03847954471370674,0.010113780025284451
deepseek-coder:6.7b,gold_location_output_word_count,q2_22_to_32,3717,23,32,0.007263922518159807,0.005918751681463546,-0.0013451708366962606,0.39201665392017976,0.4396703117344725,0.04765365781429276,0.00645682001614205
deepseek-coder:6.7b,gold_location_output_word_count,q3_32_to_45,3510,33,45,0.004558404558404558,0.0017094017094017094,-0.0028490028490028487,0.409961188561223,0.4580835021074372,0.04812231354621421,0.004558404558404558
deepseek-coder:6.7b,gold_location_output_char_count,q4_gt_472,3713,473,1867,0.0024239159709130084,0.00134661998384056,-0.0010772959870724483,0.4624336337255263,0.520863157632758,0.05842952390723172,0.0024239159709130084
deepseek-coder:6.7b,gold_location_output_char_count,q1_le_254,3718,12,254,0.009682625067240451,0.013448090371167294,0.003765465303926843,0.36938001292193334,0.3920052171277536,0.02262520420582026,0.005917159763313609
deepseek-coder:6.7b,gold_location_output_char_count,q2_254_to_349,3735,255,349,0.00963855421686747,0.006157965194109772,-0.0034805890227576986,0.389582296703219,0.4356599813606359,0.046077684657416906,0.009103078982597055
deepseek-coder:6.7b,gold_location_output_char_count,q3_349_to_472,3689,350,472,0.006776904310111141,0.003795066413662239,-0.002981837896448902,0.4073641151699471,0.45910899315157766,0.05174487798163058,0.005963675792897805
qwen2.5-coder:32b,old_snippet_line_count,q4_gt_11,3383,12,44,0.054389595033993494,0.04167898315104936,-0.012710611882944131,0.6361511641785472,0.7269575804890468,0.09080641631049957,0.029559562518474726
qwen2.5-coder:32b,old_snippet_line_count,q3_8_to_11,3176,9,11,0.08532745591939547,0.05415617128463476,-0.03117128463476071,0.6545571242873621,0.7315305680350502,0.07697344374768811,0.053211586901763225
qwen2.5-coder:32b,old_snippet_line_count,q1_le_8,8296,3,8,0.16152362584378013,0.03712632594021215,-0.12439729990356799,0.6593370333727132,0.6782084256951663,0.01887139232245305,0.13934426229508196
qwen2.5-coder:32b,review_word_count,q4_gt_24,3611,25,422,0.05760177236222653,0.023816117418997508,-0.03378565494322902,0.6142482427044351,0.6729218268223718,0.05867358411793666,0.047078371642204374
qwen2.5-coder:32b,review_word_count,q3_14_to_24,3388,15,24,0.11894923258559623,0.031582054309327035,-0.08736717827626919,0.6461717360930097,0.6904217018831967,0.04424996579018703,0.1000590318772137
qwen2.5-coder:32b,review_word_count,q1_le_8,4384,1,8,0.15031934306569342,0.06683394160583941,-0.083485401459854,0.6709871634996196,0.7265317193937757,0.05554455589415608,0.1104014598540146
qwen2.5-coder:32b,review_word_count,q2_8_to_14,3472,9,14,0.15120967741935484,0.03888248847926267,-0.11232718894009217,0.6774034772297096,0.7070481503406383,0.029644673110928665,0.12442396313364056
qwen2.5-coder:32b,gold_new_line_count,q4_gt_11,3132,12,42,0.018837803320561942,0.006066411238825032,-0.01277139208173691,0.5785769282592974,0.6664034414623334,0.08782651320303603,0.014687100893997445
qwen2.5-coder:32b,gold_new_line_count,q3_8_to_11,3221,9,11,0.040670599192797266,0.005277864017385905,-0.03539273517541136,0.617124417690866,0.6943690965226751,0.07724467883180908,0.037565973300217326
qwen2.5-coder:32b,gold_new_line_count,q1_le_8,8502,2,8,0.18877911079745943,0.06880733944954129,-0.11997177134791814,0.694068707988981,0.7157512632182191,0.02168255522923812,0.14796518466243236
qwen2.5-coder:32b,number_changed_spans,q4_gt_1,3613,2.0,10.0,0.024633268751729866,0.012178245225574315,-0.01245502352615555,0.5957456604058791,0.6762438548274045,0.08049819442152539,0.017160254636036536
qwen2.5-coder:32b,number_changed_spans,q1_le_1,11242,1.0,1.0,0.1517523572318093,0.0513253869418253,-0.100426970289984,0.6714466974707592,0.7085737974514723,0.03712709998071306,0.12124177192670343
qwen2.5-coder:32b,number_changed_lines,q4_gt_3,2831,4.0,20.0,0.06499470151889791,0.05545743553514659,-0.00953726598375132,0.6611853316451457,0.7617995568167872,0.10061422517164154,0.032497350759448956
qwen2.5-coder:32b,number_changed_lines,q3_1_to_3,3947,2.0,3.0,0.06967316949581961,0.04180390169749176,-0.02786926779832785,0.6310088100582498,0.7017574987023699,0.0707486886441201,0.045604256397263745
qwen2.5-coder:32b,number_changed_lines,q1_le_1,8077,1.0,1.0,0.16540794849572862,0.03701869506004705,-0.12838925343568158,0.6609416115916055,0.6787872088293037,0.017845597237698185,0.14275102141884363
qwen2.5-coder:32b,direct_output_line_count,q4_gt_11,3556,12,133,0.016310461192350956,0.0140607424071991,-0.0022497187851518562,0.5678813146133888,0.6918097060107739,0.1239283913973851,0.01265466816647919
qwen2.5-coder:32b,direct_output_line_count,q2_8_to_9,2503,9,9,0.031562125449460646,0.015980823012385136,-0.01558130243707551,0.7682442346699165,0.7459736822796821,-0.022270552390234455,0.029165001997602878
qwen2.5-coder:32b,direct_output_line_count,q3_9_to_11,1857,10,11,0.02207862143241788,0.013462574044157244,-0.008616047388260635,0.5898384660964853,0.696533305678388,0.10669483958190273,0.021540118470651588
qwen2.5-coder:32b,direct_output_line_count,q1_le_8,6939,1,8,0.23303069606571553,0.07292117019743478,-0.16010952586828076,0.6720278913860112,0.690062817189183,0.018034925803171897,0.1825911514627468
qwen2.5-coder:32b,direct_output_word_count,q4_gt_50,3613,51,266,0.045945197896484914,0.012455023526155549,-0.03349017437032936,0.6189453679920486,0.7199005284828436,0.100955160490795,0.043454193191253807
qwen2.5-coder:32b,direct_output_word_count,q1_le_24,3821,1,24,0.19052604030358544,0.09159905783826224,-0.09892698246532321,0.6406721014237611,0.6834839992419357,0.04281189781817463,0.1277152577859199
qwen2.5-coder:32b,direct_output_word_count,q3_35_to_50,3623,36,50,0.09439690863924924,0.021253105161468396,-0.07314380347778085,0.6683228631928567,0.7030761650534305,0.03475330186057379,0.08308032017664918
